pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Ben Simmons,0.1,.333,11.6,.561,9.0,.670,3.1,8.6,4.8,2.0,0.8,19.2
2,Brandon Ingram,5.4,.410,8.0,.464,4.7,.682,1.9,4.9,2.0,1.1,1.4,17.3
3,Jaylen Brown,3.0,.294,8.1,.482,6.4,.654,1.1,4.3,2.0,0.8,0.6,14.6
4,Dragan Bender,3.0,.294,8.1,.482,6.4,.654,1.1,4.3,2.0,0.8,0.6,14.6
5,Kris Dunn,2.2,.354,7.8,.476,4.5,.693,1.1,4.0,5.8,2.2,0.4,12.8
6,Buddy Hield,6.8,.390,6.5,.508,3.4,.836,1.6,3.4,1.9,1.3,0.3,17.4
7,Jamal Murray,7.7,.408,7.3,.502,4.2,.783,1.5,3.7,2.2,1.0,0.3,20.0
8,Marquese Chriss,1.8,.350,8.2,.568,3.8,.682,2.5,2.9,0.8,0.9,1.6,13.7
9,Jakob Poeltl,0.0,nan,7.7,.659,5.2,.605,2.8,5.2,1.3,0.5,1.7,13.3
10,Thon Maker,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,Domantas Sabonis,0.2,.357,8.0,.638,4.2,.729,2.6,6.8,1.3,0.5,0.6,13.5
12,Taurean Prince,2.7,.376,5.2,.504,2.8,.718,1.6,2.7,1.1,0.9,0.5,10.2
13,Georgios Papagiannis,2.7,.376,5.2,.504,2.8,.718,1.6,2.7,1.1,0.9,0.5,10.2
14,Denzel Valentine,4.5,.408,4.6,.476,2.0,.779,1.1,4.8,4.4,0.9,0.3,11.4
15,Juan Hernangomez,4.5,.408,4.6,.476,2.0,.779,1.1,4.8,4.4,0.9,0.3,11.4
16,Guerschon Yabusele,4.5,.408,4.6,.476,2.0,.779,1.1,4.8,4.4,0.9,0.3,11.4
17,Wade Baldwin,2.9,.422,5.1,.436,4.4,.800,0.4,3.6,4.8,1.3,0.2,11.6
18,Henry Ellenson,3.2,.288,10.0,.495,5.8,.749,2.2,7.6,1.8,0.8,1.5,17.0
19,Malik Beasley,4.2,.387,7.4,.518,3.8,.813,1.3,4.0,1.5,0.9,0.2,15.6
20,Caris LeVert,3.2,.401,4.9,.456,2.6,.770,0.4,3.2,2.7,0.9,0.2,10.4
21,DeAndre Bembry,3.8,.312,8.8,.520,4.9,.628,1.4,5.3,3.6,1.4,0.8,15.7
22,Malachi Richardson,6.1,.353,5.1,.388,4.2,.720,0.5,3.8,2.1,1.1,0.3,13.4
23,Ante Zizic,6.1,.353,5.1,.388,4.2,.720,0.5,3.8,2.1,1.1,0.3,13.4
24,Timothe Luwawu,6.1,.353,5.1,.388,4.2,.720,0.5,3.8,2.1,1.1,0.3,13.4
25,Brice Johnson,0.0,nan,8.6,.577,2.8,.715,2.1,4.9,0.9,0.8,1.1,11.9
26,Furkan Korkmaz,0.0,nan,8.6,.577,2.8,.715,2.1,4.9,0.9,0.8,1.1,11.9
27,Pascal Siakam,0.3,.176,11.5,.559,5.0,.711,3.6,6.1,1.5,0.9,2.0,16.6
28,Skal Labissiere,0.1,.000,5.2,.521,1.7,.661,1.0,2.2,0.3,0.3,1.6,6.6
29,Dejounte Murray,3.5,.288,10.8,.457,4.9,.663,1.4,4.6,4.4,1.8,0.3,16.1
30,Damian Jones,0.1,.125,9.0,.570,5.3,.565,2.1,4.3,0.7,0.4,1.7,13.3
