pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Cleveland Cavaliers,2,5,29,7,12,18,11,21,10,19,25,8
2,Milwaukee Bucks,26,7,8,16,25,12,17,25,7,1,11,22
3,Philadelphia 76ers,6,29,27,30,9,30,5,26,24,1,4,29
4,Orlando Magic,22,16,10,17,30,25,25,24,23,12,29,25
5,Utah Jazz,17,19,24,15,13,26,4,20,29,16,3,26
6,Boston Celtics,13,27,11,14,27,14,12,11,4,8,30,13
7,Los Angeles Lakers,25,17,3,27,11,23,8,13,21,22,22,19
8,Sacramento Kings,28,20,6,20,1,10,14,9,26,26,28,14
9,Charlotte Hornets,24,30,5,29,15,19,26,6,28,30,7,28
10,Philadelphia 76ers,6,29,27,30,9,30,5,26,24,1,4,29
11,Denver Nuggets,12,28,13,22,8,24,3,12,13,14,21,12
12,Orlando Magic,22,16,10,17,30,25,25,24,23,12,29,25
13,Minnesota Timberwolves,30,25,1,26,3,6,9,30,16,9,27,23
14,Phoenix Suns,10,21,18,10,21,11,13,14,27,6,12,11
15,Atlanta Hawks,7,2,28,4,24,5,30,22,2,5,15,10
16,Chicago Bulls,16,10,19,23,4,3,6,7,14,28,5,15
17,Boston Celtics,13,27,11,14,27,14,12,11,4,8,30,13
18,Phoenix Suns,10,21,18,10,21,11,13,14,27,6,12,11
19,Chicago Bulls,16,10,19,23,4,3,6,7,14,28,5,15
20,Toronto Raptors,9,11,23,8,7,2,15,27,22,18,23,4
21,Oklahoma City Thunder,14,23,7,17,6,14,1,2,25,21,6,5
22,Memphis Grizzlies,29,22,2,19,14,7,21,15,15,6,24,20
23,Utah Jazz,17,19,24,15,13,26,4,20,29,16,3,26
24,Charlotte Hornets,24,30,5,29,15,19,26,6,28,30,7,28
25,Houston Rockets,1,14,30,5,2,27,7,18,9,3,10,6
26,Miami Heat,19,24,25,9,10,22,29,28,30,13,18,27
27,Phoenix Suns,10,21,18,10,21,11,13,14,27,6,12,11
28,Los Angeles Clippers,5,3,26,1,4,28,28,10,3,15,9,2
29,Oklahoma City Thunder,14,23,7,17,6,14,1,2,25,21,6,5
30,San Antonio Spurs,15,6,16,5,23,4,27,8,5,11,8,7
