pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Anthony Bennett,2.7,.375,8.1,.587,5.1,.701,2.5,5.7,1.0,0.7,1.2,16.1
2,Victor Oladipo,1.4,.338,5.9,.585,3.5,.716,2.0,3.2,1.7,1.5,0.5,10.7
3,Otto Porter,2.4,.355,6.8,.550,3.8,.751,1.9,5.3,2.1,1.5,0.9,12.8
4,Cody Zeller,0.0,nan,9.3,.594,6.6,.756,2.6,4.7,1.3,1.2,1.2,16.1
5,Alex Len,0.2,.111,6.8,.548,3.3,.663,2.4,4.5,0.8,0.2,2.1,9.7
6,Nerlens Noel,0.0,nan,6.9,.590,4.3,.529,2.7,6.8,1.6,2.1,4.4,10.5
7,Ben McLemore,4.7,.420,6.1,.553,3.7,.870,1.3,3.9,2.0,1.0,0.7,15.9
8,Kentavious Caldwell-Pope,6.9,.339,5.9,.504,3.9,.752,1.3,4.8,1.5,1.9,0.4,15.8
9,Trey Burke,5.0,.367,8.3,.499,4.0,.777,0.6,2.7,5.7,1.3,0.5,16.9
10,CJ McCollum,5.2,.377,10.5,.470,6.7,.825,1.5,4.8,2.7,2.1,0.5,21.3
11,Michael Carter-Williams,2.1,.307,4.8,.438,3.2,.679,0.9,2.7,5.2,2.0,0.4,8.2
12,Steven Adams,0.0,nan,5.5,.571,2.2,.443,2.8,3.5,0.6,0.7,2.0,7.2
13,Kelly Olynyk,0.7,.333,4.9,.634,2.8,.709,1.5,3.1,1.1,0.5,0.5,8.9
14,Shabazz Muhammad,3.3,.377,10.9,.463,5.6,.711,2.7,2.5,0.8,0.7,0.1,17.9
15,Giannis Antetokounmpo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,Lucas Nogueira,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,Dennis Schroder,9.3,.536,2.8,.294,6.3,.711,0.5,3.7,6.7,0.8,0.2,17.0
18,Shane Larkin,4.0,.375,4.6,.491,2.7,.808,0.5,2.7,3.6,1.8,0.1,11.2
19,Sergey Karasev,4.0,.375,4.6,.491,2.7,.808,0.5,2.7,3.6,1.8,0.1,11.2
20,Tony Snell,4.2,.380,2.9,.480,1.9,.821,0.4,2.0,2.0,0.5,0.3,9.2
21,Gorgui Dieng,0.0,nan,6.0,.546,2.7,.640,3.0,4.9,1.2,1.0,2.6,8.3
22,Mason Plumlee,0.1,.200,6.4,.578,4.0,.583,2.4,5.4,1.5,0.8,1.4,9.8
23,Solomon Hill,2.2,.375,5.1,.528,3.3,.745,1.8,3.8,2.2,0.9,0.4,10.3
24,Tim Hardaway,5.5,.343,6.1,.500,3.6,.724,0.6,3.5,2.1,0.7,0.3,14.3
25,Reggie Bullock,4.9,.387,3.3,.517,1.2,.720,1.6,3.4,1.7,0.9,0.2,9.9
26,Andre Roberson,1.4,.350,5.7,.555,3.2,.582,2.9,7.0,1.1,1.6,1.4,9.6
27,Rudy Gobert,1.4,.350,5.7,.555,3.2,.582,2.9,7.0,1.1,1.6,1.4,9.6
28,Livio Jean-Charles,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,Archie Goodwin,1.9,.266,8.9,.478,6.4,.637,1.5,3.2,2.7,1.1,0.5,14.1
30,Nemanja Nedovic,1.9,.266,8.9,.478,6.4,.637,1.5,3.2,2.7,1.1,0.5,14.1
