pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Cleveland Cavaliers,20,18,5,29,18,20,6,14,20,24,29,22
2,Orlando Magic,21,21,10,25,26,12,24,12,22,16,22,25
3,Washington Wizards,19,5,9,12,25,25,19,17,8,11,15,16
4,Charlotte Bobcats,27,23,8,27,11,24,25,7,16,29,8,23
5,Phoenix Suns,4,8,25,7,9,16,14,16,29,7,17,7
6,New Orleans Hornets,29,6,3,17,12,11,13,25,19,12,1,18
7,Sacramento Kings,26,27,7,17,4,15,5,11,30,22,27,17
8,Detroit Pistons,22,29,2,13,6,30,1,22,24,8,13,14
9,Minnesota Timberwolves,16,26,4,20,3,9,2,13,5,3,30,3
10,Portland Trail Blazers,3,10,17,15,13,1,3,4,9,30,14,4
11,Philadelphia 76ers,13,30,6,21,14,29,10,19,15,1,25,19
12,Oklahoma City Thunder,14,14,22,5,8,2,18,6,13,10,2,5
13,Dallas Mavericks,12,2,19,6,23,3,22,23,6,5,21,8
14,Utah Jazz,23,25,16,24,21,22,16,26,26,26,20,29
15,Milwaukee Bucks,24,20,11,28,19,21,8,29,17,28,11,28
16,Boston Celtics,18,28,12,26,27,10,7,24,22,23,23,26
17,Atlanta Hawks,2,13,27,8,22,6,29,18,2,9,26,15
18,Atlanta Hawks,2,13,27,8,22,6,29,18,2,9,26,15
19,Cleveland Cavaliers,20,18,5,29,18,20,6,14,20,24,29,22
20,Chicago Bulls,28,24,13,30,15,7,11,9,10,21,7,30
21,Utah Jazz,23,25,16,24,21,22,16,26,26,26,20,29
22,Brooklyn Nets,10,11,28,9,10,18,28,28,24,4,28,21
23,Indiana Pacers,25,17,18,22,16,8,23,1,27,27,5,24
24,New York Knicks,5,7,26,13,28,13,20,27,28,14,18,20
25,Los Angeles Clippers,8,22,24,3,2,26,21,10,3,6,12,1
26,Minnesota Timberwolves,16,26,4,20,3,9,2,13,5,3,30,3
27,Denver Nuggets,9,15,15,16,5,27,4,8,12,18,4,9
28,San Antonio Spurs,16,1,14,4,30,4,26,4,1,20,9,6
29,Oklahoma City Thunder,14,14,22,5,8,2,18,6,13,10,2,5
30,Phoenix Suns,4,8,25,7,9,16,14,16,29,7,17,7
