pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Minnesota Timberwolves,29,25,5,11,2,4,20,28,8,14,19,15
2,Los Angeles Lakers,13,30,17,30,8,11,11,24,30,23,24,30
3,Philadelphia 76ers,8,24,23,25,19,28,24,26,20,10,3,29
4,New York Knicks,23,20,12,28,25,1,16,7,26,30,9,27
5,Orlando Magic,22,16,6,14,29,17,18,21,7,12,15,18
6,Sacramento Kings,21,10,8,10,6,26,13,14,4,5,20,3
7,Denver Nuggets,18,26,15,20,10,14,6,19,14,20,16,20
8,Detroit Pistons,10,22,18,23,5,30,2,11,27,24,30,19
9,Charlotte Hornets,4,8,28,24,11,5,28,4,19,22,12,11
10,Miami Heat,28,27,9,8,14,23,22,6,23,27,1,23
11,Indiana Pacers,20,14,13,17,17,15,17,10,22,4,17,17
12,Utah Jazz,15,12,22,16,16,24,10,23,28,18,14,28
13,Phoenix Suns,12,18,19,26,13,20,5,15,24,17,28,22
14,Oklahoma City Thunder,17,17,11,2,7,10,1,2,10,21,4,2
15,Atlanta Hawks,7,15,24,7,30,8,30,13,2,3,5,12
16,Boston Celtics,11,28,10,19,12,6,3,15,6,2,22,5
17,Milwaukee Bucks,30,21,1,13,18,22,15,29,9,13,7,25
18,Houston Rockets,2,19,30,4,1,27,7,27,16,1,13,4
19,Washington Wizards,14,11,16,9,20,25,27,22,5,8,26,9
20,Toronto Raptors,19,5,20,18,3,12,19,18,29,15,11,14
21,Dallas Mavericks,5,23,27,12,21,3,26,9,18,26,29,16
22,Chicago Bulls,24,3,2,29,26,7,9,3,12,29,8,21
23,Portland Trail Blazers,6,4,21,15,14,19,4,8,21,25,18,6
24,Cleveland Cavaliers,3,7,29,4,24,21,12,11,13,28,27,8
25,Memphis Grizzlies,25,29,4,27,9,9,8,30,25,6,21,24
26,San Antonio Spurs,26,2,7,3,28,2,25,5,3,11,6,10
27,Los Angeles Lakers,13,30,17,30,8,11,11,24,30,23,24,30
28,Boston Celtics,11,28,10,19,12,6,3,15,6,2,22,5
29,Brooklyn Nets,27,13,3,22,27,18,14,25,15,19,25,26
30,Golden State Warriors,1,1,26,1,23,16,21,1,1,9,2,1
