pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Philadelphia 76ers,29.8,.340,55.5,.496,22.0,.771,9.8,33.0,23.8,8.4,5.1,102.4
2,Los Angeles Lakers,25.7,.346,61.6,.493,22.6,.754,11.4,32.1,20.9,8.2,3.9,104.6
3,Boston Celtics,33.4,.359,51.7,.515,23.2,.807,9.1,32.9,25.2,7.5,4.1,108.0
4,Phoenix Suns,22.6,.332,65.9,.491,26.3,.776,11.9,33.1,19.6,8.2,4.9,107.7
5,Minnesota Timberwolves,21.0,.349,63.4,.507,24.2,.799,11.4,31.0,23.7,8.0,4.5,105.6
6,New Orleans Pelicans,26.8,.350,60.2,.495,22.3,.750,8.6,35.1,22.8,7.8,5.5,104.3
7,Denver Nuggets,28.8,.368,58.9,.519,24.2,.774,11.8,34.6,25.3,6.9,3.9,111.7
8,Sacramento Kings,23.9,.376,58.2,.496,23.3,.775,8.7,32.3,22.5,7.6,4.0,102.8
9,Toronto Raptors,24.3,.363,60.0,.505,24.7,.796,10.6,32.6,18.5,8.3,4.9,106.9
10,Milwaukee Bucks,23.7,.370,58.2,.516,22.4,.768,8.8,31.6,24.2,8.1,5.3,103.6
11,Orlando Magic,26.1,.328,60.9,.488,21.4,.747,9.8,33.3,22.2,7.1,4.8,101.1
12,Utah Jazz,26.0,.372,53.5,.511,22.9,.747,9.4,33.8,20.1,6.7,5.0,100.7
13,Phoenix Suns,22.6,.332,65.9,.491,26.3,.776,11.9,33.1,19.6,8.2,4.9,107.7
14,Chicago Bulls,22.3,.340,64.8,.479,22.5,.798,12.2,34.1,22.6,7.8,4.8,102.9
15,Denver Nuggets,28.8,.368,58.9,.519,24.2,.774,11.8,34.6,25.3,6.9,3.9,111.7
16,Boston Celtics,33.4,.359,51.7,.515,23.2,.807,9.1,32.9,25.2,7.5,4.1,108.0
17,Memphis Grizzlies,26.5,.354,57.1,.473,23.4,.784,10.8,32.0,21.3,8.0,4.2,100.5
18,Detroit Pistons,23.4,.330,65.5,.492,19.3,.719,11.1,34.6,21.1,7.0,3.8,101.3
19,Denver Nuggets,28.8,.368,58.9,.519,24.2,.774,11.8,34.6,25.3,6.9,3.9,111.7
20,Indiana Pacers,23.0,.376,61.5,.498,22.1,.810,9.0,33.0,22.5,8.2,5.0,105.1
21,Atlanta Hawks,26.1,.341,58.3,.501,24.9,.728,10.3,34.1,23.6,8.2,4.8,103.2
22,Charlotte Hornets,28.6,.351,56.7,.488,23.8,.815,8.8,34.8,23.1,7.0,4.8,104.9
23,Boston Celtics,33.4,.359,51.7,.515,23.2,.807,9.1,32.9,25.2,7.5,4.1,108.0
24,Philadelphia 76ers,29.8,.340,55.5,.496,22.0,.771,9.8,33.0,23.8,8.4,5.1,102.4
25,Los Angeles Clippers,27.4,.375,55.8,.525,26.0,.745,9.0,34.0,22.5,7.5,4.2,108.7
26,Philadelphia 76ers,29.8,.340,55.5,.496,22.0,.771,9.8,33.0,23.8,8.4,5.1,102.4
27,Toronto Raptors,24.3,.363,60.0,.505,24.7,.796,10.6,32.6,18.5,8.3,4.9,106.9
28,Phoenix Suns,22.6,.332,65.9,.491,26.3,.776,11.9,33.1,19.6,8.2,4.9,107.7
29,San Antonio Spurs,23.5,.391,60.2,.500,22.0,.797,10.0,33.9,23.8,8.0,5.9,105.3
30,Golden State Warriors,31.2,.383,55.8,.557,22.6,.788,9.4,35.0,30.4,9.6,6.8,115.9
