pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Philadelphia 76ers,29.8,.369,56.7,.526,22.8,.752,10.9,36.5,27.1,8.3,5.1,109.8
2,Los Angeles Lakers,29.1,.345,59.3,.517,23.3,.714,10.7,35.7,23.8,7.7,4.7,108.1
3,Boston Celtics,30.4,.377,54.7,.491,20.7,.771,9.4,35.1,22.5,7.4,4.6,104.0
4,Phoenix Suns,27.9,.334,59.2,.492,23.9,.740,10.3,33.9,21.3,6.9,4.5,103.9
5,Sacramento Kings,24.0,.375,62.1,.479,16.7,.735,9.5,31.4,21.6,7.8,4.1,98.8
6,Orlando Magic,29.3,.351,56.5,.504,20.5,.757,8.8,32.8,23.4,7.6,4.9,103.4
7,Minnesota Timberwolves,22.5,.357,63.6,.519,24.1,.804,10.3,31.6,22.7,8.4,4.2,109.5
8,New York Knicks,23.3,.352,64.4,.504,19.0,.787,10.5,33.6,23.3,6.7,5.1,104.5
9,Dallas Mavericks,32.8,.360,53.1,.496,18.7,.763,8.1,33.1,22.7,7.0,3.8,102.3
10,Sacramento Kings,24.0,.375,62.1,.479,16.7,.735,9.5,31.4,21.6,7.8,4.1,98.8
11,Charlotte Hornets,27.2,.369,59.4,.487,27.0,.747,10.1,35.4,21.6,6.8,4.5,108.2
12,Detroit Pistons,28.9,.373,58.0,.488,19.8,.745,10.1,33.6,22.8,7.7,3.9,103.8
13,Denver Nuggets,30.9,.371,55.7,.525,22.4,.766,11.0,33.5,25.1,7.6,4.9,110.0
14,Miami Heat,30.6,.360,54.8,.508,19.5,.755,9.3,34.2,22.7,7.6,5.3,103.4
15,Portland Trail Blazers,28.1,.366,58.8,.493,20.9,.800,10.2,35.3,19.5,7.0,5.2,105.6
16,Chicago Bulls,31.1,.355,57.8,.478,19.2,.758,9.6,35.0,23.5,7.6,3.5,102.9
17,Milwaukee Bucks,24.7,.355,58.3,.531,23.4,.782,8.4,31.5,23.2,8.8,5.4,106.5
18,Indiana Pacers,24.5,.369,61.9,.513,19.2,.779,9.6,32.7,22.2,8.8,4.1,105.6
19,Atlanta Hawks,31.0,.360,54.5,.495,20.2,.785,9.0,32.8,23.7,7.8,4.2,103.4
20,Portland Trail Blazers,28.1,.366,58.8,.493,20.9,.800,10.2,35.3,19.5,7.0,5.2,105.6
21,Oklahoma City Thunder,30.4,.354,57.7,.505,24.2,.715,12.5,32.6,21.3,9.1,5.0,107.9
22,Brooklyn Nets,35.7,.356,51.1,.500,22.6,.772,9.7,34.8,23.7,6.2,4.8,106.6
23,Toronto Raptors,33.0,.358,54.5,.541,21.8,.794,9.8,34.2,24.3,7.6,6.1,111.7
24,Utah Jazz,29.6,.366,53.3,.515,21.5,.779,9.0,34.2,22.4,8.6,5.1,104.1
25,Orlando Magic,29.3,.351,56.5,.504,20.5,.757,8.8,32.8,23.4,7.6,4.9,103.4
26,Portland Trail Blazers,28.1,.366,58.8,.493,20.9,.800,10.2,35.3,19.5,7.0,5.2,105.6
27,Brooklyn Nets,35.7,.356,51.1,.500,22.6,.772,9.7,34.8,23.7,6.2,4.8,106.6
28,Los Angeles Lakers,29.1,.345,59.3,.517,23.3,.714,10.7,35.7,23.8,7.7,4.7,108.1
29,San Antonio Spurs,24.1,.352,61.2,.499,20.9,.772,10.4,33.9,22.8,7.7,5.6,102.7
30,Utah Jazz,29.6,.366,53.3,.515,21.5,.779,9.0,34.2,22.4,8.6,5.1,104.1
