pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Minnesota Timberwolves,16.4,.338,64.9,.496,27.0,.792,10.0,31.5,23.4,8.0,4.6,102.4
2,Los Angeles Lakers,24.6,.317,60.2,.454,24.7,.781,10.7,32.3,18.0,7.2,4.1,97.3
3,Philadelphia 76ers,27.5,.339,56.5,.476,22.6,.694,9.5,31.8,21.5,8.3,6.0,97.4
4,New York Knicks,21.5,.346,62.5,.471,21.4,.805,10.4,34.0,20.5,5.7,5.7,98.4
5,Orlando Magic,22.2,.350,64.7,.492,20.1,.757,10.3,33.0,23.6,8.2,5.1,102.1
6,Sacramento Kings,22.4,.359,64.0,.500,25.5,.725,10.6,33.7,24.5,8.9,4.5,106.6
7,Denver Nuggets,23.7,.338,61.7,.482,24.1,.766,11.5,33.1,22.7,7.4,4.8,101.9
8,Detroit Pistons,26.2,.345,60.2,.480,25.5,.668,12.5,33.9,19.4,7.0,3.7,102.0
9,Charlotte Hornets,29.4,.362,55.0,.479,23.7,.790,9.0,35.0,21.7,7.3,5.3,103.4
10,Miami Heat,18.0,.336,63.6,.508,23.0,.744,9.8,34.3,20.8,6.7,6.5,100.0
11,Indiana Pacers,23.0,.351,62.1,.486,22.8,.764,10.3,33.9,21.2,9.0,4.8,102.2
12,Utah Jazz,23.9,.355,56.5,.488,23.0,.744,10.7,32.5,19.0,7.7,5.2,97.7
13,Phoenix Suns,25.8,.348,59.8,.472,23.2,.751,11.5,33.3,20.7,7.7,3.8,100.9
14,Oklahoma City Thunder,23.7,.349,62.6,.524,25.2,.782,13.1,35.6,23.0,7.4,5.9,110.2
15,Atlanta Hawks,28.4,.350,56.1,.512,20.0,.783,8.3,33.8,25.6,9.1,5.9,102.8
16,Boston Celtics,26.1,.335,63.1,.483,23.5,.788,11.6,33.3,24.2,9.2,4.2,105.7
17,Milwaukee Bucks,15.6,.345,66.6,.495,22.7,.747,10.5,31.2,23.1,8.2,5.8,99.0
18,Houston Rockets,30.9,.347,52.6,.514,29.4,.694,11.3,31.7,22.2,10.0,5.2,106.5
19,Washington Wizards,24.2,.358,61.6,.501,22.5,.730,9.1,32.8,24.5,8.6,3.9,104.1
20,Toronto Raptors,23.4,.370,58.0,.483,26.7,.777,10.2,33.2,18.7,7.8,5.5,102.7
21,Dallas Mavericks,28.6,.344,55.6,.495,22.3,.794,9.2,33.9,22.1,6.8,3.7,102.3
22,Chicago Bulls,21.4,.371,66.1,.464,21.0,.787,11.1,35.2,22.8,6.0,5.7,101.6
23,Portland Trail Blazers,28.5,.370,57.4,.490,23.0,.754,11.6,33.9,21.3,6.9,4.6,105.1
24,Cleveland Cavaliers,29.6,.362,54.4,.514,21.7,.748,10.6,33.9,22.7,6.7,3.9,104.3
25,Memphis Grizzlies,18.5,.331,65.1,.471,24.7,.783,11.2,30.5,20.7,8.8,4.3,99.1
26,San Antonio Spurs,18.5,.375,64.4,.515,20.4,.803,9.4,34.5,24.5,8.3,5.9,103.5
27,Los Angeles Lakers,24.6,.317,60.2,.454,24.7,.781,10.7,32.3,18.0,7.2,4.1,97.3
28,Boston Celtics,26.1,.335,63.1,.483,23.5,.788,11.6,33.3,24.2,9.2,4.2,105.7
29,Brooklyn Nets,18.4,.352,66.0,.481,20.7,.757,10.5,31.9,22.3,7.6,4.0,98.6
30,Golden State Warriors,31.6,.416,55.7,.528,21.8,.763,10.0,36.2,28.9,8.4,6.1,114.9
