pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Markelle Fultz,5.0,.413,12.5,.502,6.7,.649,1.3,4.4,5.9,1.6,1.2,23.2
2,Lonzo Ball,5.4,.412,4.1,.732,2.7,.673,0.9,5.1,7.6,1.8,0.8,14.6
3,Jayson Tatum,4.0,.342,8.6,.504,4.8,.849,1.3,6.0,2.1,1.3,1.1,16.8
4,Josh Jackson,2.6,.378,9.7,.549,4.9,.566,2.3,5.1,3.0,1.7,1.1,16.3
5,De'Aaron Fox,1.9,.246,10.5,.521,5.9,.736,0.6,3.4,4.6,1.5,0.2,16.7
6,Jonathan Isaac,2.8,.348,5.2,.593,3.7,.780,1.8,6.1,1.2,1.2,1.5,12.0
7,Lauri Markkanen,4.4,.423,5.8,.545,4.4,.835,2.4,4.8,0.9,0.4,0.5,15.6
8,Frank Ntilikina,4.4,.423,5.8,.545,4.4,.835,2.4,4.8,0.9,0.4,0.5,15.6
9,Dennis Smith,4.8,.359,8.3,.509,6.3,.715,0.8,3.8,6.2,1.9,0.4,18.1
10,Zach Collins,0.5,.476,4.8,.672,3.8,.743,1.7,4.2,0.4,0.5,1.8,10.0
11,Malik Monk,6.9,.397,7.8,.497,4.7,.822,0.3,2.2,2.3,0.9,0.5,19.8
12,Luke Kennard,5.1,.383,6.1,.526,3.9,.867,1.1,3.3,2.0,0.9,0.3,15.7
13,Donovan Mitchell,4.6,.329,5.2,.497,2.5,.788,1.1,3.0,2.2,1.5,0.3,11.7
14,Bam Adebayo,0.0,nan,7.5,.599,6.2,.653,3.1,4.9,0.8,0.7,1.5,13.0
15,Justin Jackson,4.2,.340,7.2,.531,2.8,.712,1.5,2.5,2.6,0.6,0.4,14.0
16,Justin Patton,0.4,.533,8.0,.683,2.5,.517,1.7,4.5,1.2,0.9,1.4,12.9
17,D.J. Wilson,2.0,.363,3.3,.619,1.0,.817,0.9,2.4,0.8,0.4,1.0,7.1
18,T.J. Leaf,1.7,.466,9.2,.644,3.0,.679,2.2,6.0,2.4,0.6,1.1,16.3
19,John Collins,0.0,nan,8.2,.602,4.9,.729,2.8,4.2,0.4,0.5,1.2,13.4
20,Harry Giles,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,Terrance Ferguson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,Jarrett Allen,0.2,.000,9.4,.579,4.5,.564,3.0,5.4,0.8,0.6,1.5,13.4
23,OG Anunoby,1.5,.365,3.3,.652,1.8,.522,1.4,2.1,0.8,1.0,0.9,6.8
24,Tyler Lydon,3.5,.400,4.8,.531,2.9,.809,2.0,5.4,1.6,1.1,1.6,11.6
25,Anzejs Pasecniks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,Caleb Swanigan,2.3,.376,7.9,.537,4.4,.760,2.2,8.2,2.4,0.4,0.5,14.4
27,Kyle Kuzma,1.8,.302,5.9,.567,2.8,.633,1.6,3.9,1.5,0.3,0.4,10.1
28,Tony Bradley,0.0,nan,4.7,.573,2.8,.619,2.6,2.6,0.6,0.3,0.6,7.1
29,Derrick White,4.2,.396,7.6,.569,5.4,.813,1.0,3.1,4.4,1.2,1.4,18.1
30,Josh Hart,3.6,.389,5.4,.592,3.4,.720,1.7,3.8,1.8,1.1,0.3,13.2
