pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Karl-Anthony Towns,0.2,.250,6.4,.577,3.4,.813,2.4,4.3,1.1,0.5,2.3,10.3
2,D'Angelo Russell,6.6,.411,8.1,.479,4.5,.756,1.0,4.7,5.0,1.6,0.3,19.3
3,Jahlil Okafor,0.0,nan,11.1,.664,5.1,.510,3.5,4.9,1.3,0.8,1.4,17.3
4,Kristaps Porzingis,0.0,nan,11.1,.664,5.1,.510,3.5,4.9,1.3,0.8,1.4,17.3
5,Mario Hezonja,0.0,nan,11.1,.664,5.1,.510,3.5,4.9,1.3,0.8,1.4,17.3
6,Willie Cauley-Stein,0.0,nan,5.6,.593,2.8,.508,2.4,3.9,0.9,1.1,2.2,8.0
7,Emmanuel Mudiay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,Stanley Johnson,3.1,.371,7.2,.478,4.7,.742,2.0,4.5,1.7,1.5,0.4,13.8
9,Frank Kaminsky,1.9,.369,5.1,.580,2.7,.763,1.3,3.4,1.3,0.5,1.1,10.1
10,Justise Winslow,2.8,.418,6.3,.516,4.0,.641,1.3,5.2,2.1,1.3,0.9,12.6
11,Myles Turner,1.8,.274,5.7,.513,3.3,.839,1.3,5.2,0.6,0.3,2.6,10.1
12,Trey Lyles,0.8,.138,5.9,.536,2.8,.735,1.8,3.4,1.1,0.5,0.4,8.7
13,Devin Booker,3.7,.411,3.8,.527,1.7,.828,0.4,1.6,1.1,0.4,0.1,10.0
14,Cameron Payne,6.3,.359,8.3,.487,4.7,.781,0.4,3.2,5.7,1.8,0.5,18.5
15,Kelly Oubre,2.6,.358,4.3,.497,3.1,.718,1.1,3.8,0.8,1.1,0.4,9.3
16,Terry Rozier,3.5,.331,6.8,.447,3.1,.772,1.0,3.3,2.4,1.5,0.1,12.0
17,Rashad Vaughn,6.1,.383,8.1,.481,4.3,.694,0.6,4.2,1.6,0.8,0.3,17.8
18,Sam Dekker,3.6,.348,5.3,.591,2.8,.695,1.6,3.4,1.3,0.6,0.5,12.1
19,Jerian Grant,4.4,.345,6.4,.498,4.8,.790,0.4,2.5,5.8,1.5,0.3,14.6
20,Delon Wright,1.9,.299,7.5,.594,5.5,.814,1.1,4.7,5.2,2.3,1.1,15.0
21,Justin Anderson,2.8,.357,4.1,.481,2.7,.752,0.8,2.7,1.8,0.6,0.9,8.9
22,Bobby Portis,0.9,.365,10.3,.540,3.9,.737,3.1,4.7,1.3,1.1,1.5,15.0
23,Rondae Hollis-Jefferson,0.5,.205,6.4,.520,4.7,.697,2.1,4.1,1.5,0.9,0.9,10.2
24,Tyus Jones,3.2,.379,5.1,.440,4.2,.889,0.5,3.0,5.6,1.5,0.1,11.8
25,Jarell Martin,2.0,.308,8.0,.541,4.5,.689,2.4,4.6,1.4,1.0,0.7,13.7
26,Nikola Milutinov,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,Larry Nance Jr.,1.0,.308,7.0,.551,3.5,.771,1.5,5.1,1.4,1.1,1.1,11.3
28,R.J. Hunter,7.2,.354,6.1,.505,5.3,.853,0.7,4.1,2.4,1.9,0.9,18.4
29,Chris McCullough,0.1,1.000,7.0,.473,4.4,.563,2.3,4.6,1.1,1.7,2.1,9.3
30,Kevon Looney,1.5,.415,7.4,.481,4.1,.626,3.4,5.8,1.4,1.3,0.9,11.6
