pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Cleveland Cavaliers,20.0,.356,64.8,.461,22.7,.751,12.1,32.1,21.2,7.1,3.7,98.2
2,Orlando Magic,19.5,.353,63.3,.474,20.9,.763,9.7,32.4,21.0,7.7,4.3,96.5
3,Washington Wizards,20.8,.380,63.6,.485,20.9,.731,10.8,31.4,23.3,8.1,4.6,100.7
4,Charlotte Bobcats,17.9,.351,64.1,.468,24.4,.737,9.5,33.2,21.7,6.1,5.1,96.9
5,Phoenix Suns,25.1,.372,58.4,.503,24.4,.758,11.3,31.7,19.1,8.4,4.6,105.2
6,New Orleans Hornets,15.9,.373,66.6,.479,23.6,.769,11.4,30.3,21.3,7.9,6.4,99.7
7,Sacramento Kings,18.0,.333,64.5,.479,27.3,.759,12.1,32.4,18.9,7.2,3.9,100.5
8,Detroit Pistons,19.3,.321,67.6,.483,25.7,.670,14.6,30.8,20.9,8.4,4.8,101.0
9,Minnesota Timberwolves,21.4,.341,66.1,.478,28.1,.778,12.5,32.2,23.9,8.8,3.6,106.9
10,Portland Trail Blazers,25.3,.372,61.7,.481,23.5,.815,12.5,34.0,23.2,5.5,4.7,106.7
11,Philadelphia 76ers,22.5,.312,64.7,.477,23.4,.710,11.6,31.2,21.8,9.3,4.0,99.5
12,Oklahoma City Thunder,22.4,.361,60.3,.512,25.0,.806,10.8,33.9,21.9,8.3,6.1,106.2
13,Dallas Mavericks,22.9,.384,60.7,.508,21.1,.795,10.2,30.7,23.6,8.6,4.3,104.8
14,Utah Jazz,19.2,.344,61.9,.474,22.0,.747,11.0,30.2,20.3,7.0,4.5,95.0
15,Milwaukee Bucks,18.9,.353,63.2,.464,22.5,.747,11.8,29.3,21.5,6.6,4.9,95.5
16,Boston Celtics,21.1,.333,62.9,.470,20.8,.777,12.0,30.5,21.0,7.1,4.2,96.2
17,Atlanta Hawks,25.8,.363,55.8,.502,21.7,.781,8.7,31.3,24.9,8.3,4.0,101.0
18,Atlanta Hawks,25.8,.363,55.8,.502,21.7,.781,8.7,31.3,24.9,8.3,4.0,101.0
19,Cleveland Cavaliers,20.0,.356,64.8,.461,22.7,.751,12.1,32.1,21.2,7.1,3.7,98.2
20,Chicago Bulls,17.8,.348,62.4,.456,23.3,.779,11.4,32.7,22.7,7.2,5.2,93.7
21,Utah Jazz,19.2,.344,61.9,.474,22.0,.747,11.0,30.2,20.3,7.0,4.5,95.0
22,Brooklyn Nets,23.4,.369,54.5,.497,24.4,.753,8.8,29.4,20.9,8.6,3.8,98.5
23,Indiana Pacers,18.8,.357,61.4,.477,23.3,.779,10.2,34.5,20.1,6.7,5.4,96.7
24,New York Knicks,24.9,.372,57.3,.482,20.4,.761,10.6,29.7,20.0,7.7,4.5,98.6
25,Los Angeles Clippers,24.0,.352,58.5,.525,29.1,.730,10.5,32.5,24.6,8.6,4.8,107.9
26,Minnesota Timberwolves,21.4,.341,66.1,.478,28.1,.778,12.5,32.2,23.9,8.8,3.6,106.9
27,Denver Nuggets,23.9,.358,62.0,.481,26.3,.726,12.3,33.1,22.4,7.5,5.6,104.4
28,San Antonio Spurs,21.4,.397,62.0,.517,20.0,.785,9.3,34.0,25.2,7.4,5.1,105.4
29,Oklahoma City Thunder,22.4,.361,60.3,.512,25.0,.806,10.8,33.9,21.9,8.3,6.1,106.2
30,Phoenix Suns,25.1,.372,58.4,.503,24.4,.758,11.3,31.7,19.1,8.4,4.6,105.2
