pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Philadelphia 76ers,7,25,24,19,24,18,17,19,8,3,7,25
2,Los Angeles Lakers,19,22,7,22,17,21,7,26,26,5,28,17
3,Boston Celtics,3,14,28,8,15,3,22,22,4,18,23,7
4,Phoenix Suns,28,27,1,24,2,15,4,18,29,6,13,9
5,Minnesota Timberwolves,30,20,5,10,8,5,6,29,9,12,19,13
6,New Orleans Pelicans,13,19,12,21,21,22,29,1,12,16,5,18
7,Denver Nuggets,8,11,14,5,8,17,5,6,2,28,27,3
8,Sacramento Kings,23,5,18,20,13,16,28,25,16,17,26,24
9,Toronto Raptors,22,13,13,12,6,8,12,23,30,4,12,10
10,Milwaukee Bucks,24,10,19,6,20,19,25,28,5,10,6,20
11,Orlando Magic,15,29,10,26,27,25,17,16,18,24,15,27
12,Utah Jazz,17,9,26,9,16,24,19,13,28,29,8,28
13,Phoenix Suns,28,27,1,24,2,15,4,18,29,6,13,9
14,Chicago Bulls,29,24,3,29,19,6,2,9,14,15,16,23
15,Denver Nuggets,8,11,14,5,8,17,5,6,2,28,27,3
16,Boston Celtics,3,14,28,8,15,3,22,22,4,18,23,7
17,Memphis Grizzlies,14,17,20,30,12,12,10,27,21,13,22,29
18,Detroit Pistons,26,28,2,23,29,29,8,5,24,25,29,26
19,Denver Nuggets,8,11,14,5,8,17,5,6,2,28,27,3
20,Indiana Pacers,27,4,9,17,23,2,23,21,16,9,9,15
21,Atlanta Hawks,16,23,17,14,5,28,14,10,10,7,14,22
22,Charlotte Hornets,9,18,21,27,10,1,26,4,11,27,17,16
23,Boston Celtics,3,14,28,8,15,3,22,22,4,18,23,7
24,Philadelphia 76ers,7,25,24,19,24,18,17,19,8,3,7,25
25,Los Angeles Clippers,11,7,23,4,3,27,24,11,15,20,21,6
26,Philadelphia 76ers,7,25,24,19,24,18,17,19,8,3,7,25
27,Toronto Raptors,22,13,13,12,6,8,12,23,30,4,12,10
28,Phoenix Suns,28,27,1,24,2,15,4,18,29,6,13,9
29,San Antonio Spurs,25,1,11,15,24,7,16,12,7,11,2,14
30,Golden State Warriors,5,3,22,1,18,11,20,3,1,1,1,1
